"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"4","32F3C296","GO301_24_1963_1","Penn Station","1963","1","C5955902W","0"
"4","E1798FF8","GO301_24_1964","Ronkonkoma","1964","0","C5955902","1"
"4","E1798FF8","GO301_24_1965","Penn Station","1965","1","C5955902W","0"
"4","E1798FF8","GO301_24_1966","Ronkonkoma","1966","0","C5955902","1"
"4","BAD83C58","GO301_24_1967","Penn Station","1967","1","C5955902W","0"
"4","32F3C296","GO301_24_1967_1","Penn Station","1967","1","C5955902W","0"
"4","BAD83C58","GO301_24_1968","Ronkonkoma","1968","0","C5955902","1"
"4","32F3C296","GO301_24_1968_1","Ronkonkoma","1968","0","C5955902","1"
"4","BAD83C58","GO301_24_1969","Penn Station","1969","1","C5955902W","0"
"4","32F3C296","GO301_24_1969_1","Penn Station","1969","1","C5955902W","0"
"4","E1798FF8","GO301_24_1971","Penn Station","1971","1","C5955902W","0"
"4","BAD83C58","GO301_24_1972","Ronkonkoma","1972","0","C5955902","0"
"4","32F3C296","GO301_24_1972_1","Ronkonkoma","1972","0","C5955902","0"
"4","BAD83C58","GO301_24_1973","Penn Station","1973","1","C5955902W","0"
"4","32F3C296","GO301_24_1973_1","Penn Station","1973","1","C5955902W","0"
"4","F088480F","GO301_24_1974","Ronkonkoma","1974","0","C5955902","0"
"4","9D77641A","GO301_24_1974_1","Ronkonkoma","1974","0","C5955902","0"
"4","4369715C","GO301_24_1975","Penn Station","1975","1","C5955902W","0"
"4","2415C250","GO301_24_1975_1","Penn Station","1975","1","C5955902W","0"
"4","7F0AC887","GO301_24_1975_2","Penn Station","1975","1","C5955902W","0"
"4","75906070","GO301_24_1975_3","Penn Station","1975","1","C5955902W","0"
"4","9D77641A","GO301_24_1975_4","Penn Station","1975","1","C5955902W","0"
"4","F088480F","GO301_24_1976","Ronkonkoma","1976","0","C5955902","0"
"4","9D77641A","GO301_24_1976_1","Ronkonkoma","1976","0","C5955902","0"
"4","A8286891","GO301_24_1978","Ronkonkoma","1978","0","C5955902","0"
"4","32F3C296","GO301_24_1978_1","Ronkonkoma","1978","0","C5955902","0"
"4","9D77641A","GO301_24_1978_2","Ronkonkoma","1978","0","C5955902","0"
"4","4E60A4CA","GO301_24_1979","Penn Station","1979","1","C5955902W","0"
"4","D6737EFE","GO301_24_1979_1","Penn Station","1979","1","C5955902W","0"
"4","9D77641A","GO301_24_1979_2","Penn Station","1979","1","C5955902W","0"
"4","F088480F","GO301_24_1980","Ronkonkoma","1980","0","C5955902","0"
"4","9D77641A","GO301_24_1980_1","Ronkonkoma","1980","0","C5955902","0"
"4","4E60A4CA","GO301_24_1981","Penn Station","1981","1","C5955902W","0"
"4","D6737EFE","GO301_24_1981_1","Penn Station","1981","1","C5955902W","0"
"4","9D77641A","GO301_24_1981_2","Penn Station","1981","1","C5955902W","0"
"4","E1798FF8","GO301_24_1992","Ronkonkoma","1992","0","C5955902","1"
"4","F088480F","GO301_24_1998","Ronkonkoma","1998","0","C5955902","0"
"4","9D77641A","GO301_24_1998_1","Ronkonkoma","1998","0","C5955902","0"
"4","0C953F5A","GO301_24_2002","Ronkonkoma","2002","0","6B58EDF0","0"
"4","A9E66463","GO301_24_2002_1","Ronkonkoma","2002","0","6B58EDF0","0"
"4","E1798FF8","GO301_24_2009","Grand Central","2009","1","6B58EDF0W","1"
"4","E1798FF8","GO301_24_2010","Ronkonkoma","2010","0","6B58EDF0","0"
"4","E1798FF8","GO301_24_2011","Atlantic Terminal","2011","1","C815405FW","1"
"4","E1798FF8","GO301_24_2012","Ronkonkoma","2012","0","6B58EDF0","0"
"4","ABFA9FD8","GO301_24_2014","Ronkonkoma","2014","0","6B58EDF0","0"
"4","19AC3C74","GO301_24_2014_1","Ronkonkoma","2014","0","6B58EDF0","0"
"4","E1798FF8","GO301_24_2015","Grand Central","2015","1","6B58EDF0W","1"
"4","ABFA9FD8","GO301_24_2016","Ronkonkoma","2016","0","6B58EDF0","0"
"4","19AC3C74","GO301_24_2016_1","Ronkonkoma","2016","0","6B58EDF0","0"
"4","E1798FF8","GO301_24_2017","Grand Central","2017","1","6B58EDF0W","1"
"4","ABFA9FD8","GO301_24_2018","Ronkonkoma","2018","0","6B58EDF0","0"
"4","19AC3C74","GO301_24_2018_1","Ronkonkoma","2018","0","6B58EDF0","0"
"4","E1798FF8","GO301_24_2019","Grand Central","2019","1","6B58EDF0W","1"
"4","ABFA9FD8","GO301_24_2020","Ronkonkoma","2020","0","6B58EDF0","0"
"4","19AC3C74","GO301_24_2020_1","Ronkonkoma","2020","0","6B58EDF0","0"
"4","E1798FF8","GO301_24_2021","Grand Central","2021","1","6B58EDF0W","1"
"4","ABFA9FD8","GO301_24_2023","Grand Central","2023","1","6B58EDF0W","0"
"4","19AC3C74","GO301_24_2023_1","Grand Central","2023","1","6B58EDF0W","0"
"4","ABFA9FD8","GO301_24_2025","Grand Central","2025","1","6B58EDF0W","0"
"4","19AC3C74","GO301_24_2025_1","Grand Central","2025","1","6B58EDF0W","0"
"4","ABFA9FD8","GO301_24_2027","Grand Central","2027","1","6B58EDF0W","0"
"4","19AC3C74","GO301_24_2027_1","Grand Central","2027","1","6B58EDF0W","0"
"4","ABFA9FD8","GO301_24_2050","Ronkonkoma","2050","0","6B58EDF0","0"
"4","19AC3C74","GO301_24_2050_1","Ronkonkoma","2050","0","6B58EDF0","0"
"4","ABFA9FD8","GO301_24_2051","Grand Central","2051","1","6B58EDF0W","0"
"4","19AC3C74","GO301_24_2051_1","Grand Central","2051","1","6B58EDF0W","0"
"4","ABFA9FD8","GO301_24_2052","Ronkonkoma","2052","0","6B58EDF0","0"
"4","19AC3C74","GO301_24_2052_1","Ronkonkoma","2052","0","6B58EDF0","0"
"4","ABFA9FD8","GO301_24_2053","Grand Central","2053","1","6B58EDF0W","0"
"4","19AC3C74","GO301_24_2053_1","Grand Central","2053","1","6B58EDF0W","0"
"4","ABFA9FD8","GO301_24_2055","Grand Central","2055","1","6B58EDF0W","0"
