"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO301_24_6770","22:13:00","22:13:00","359","5","0","0"
"GO301_24_6770","22:15:00","22:15:00","23","6","0","0"
"GO301_24_6770","22:17:00","22:17:00","63","7","0","0"
"GO301_24_6770","22:20:00","22:20:00","195","8","0","0"
"GO301_24_6770","22:23:00","22:23:00","149","9","0","0"
"GO301_24_6770","22:26:00","22:26:00","68","10","0","0"
"GO301_24_6770","22:29:00","22:29:00","36","11","0","0"
"GO301_24_6770","22:33:00","22:33:00","84","12","0","0"
"GO301_24_6770_1","21:35:00","21:35:00","349","1","0","0"
"GO301_24_6770_1","21:56:00","21:57:00","102","2","0","0"
"GO301_24_6770_1","22:02:00","22:02:00","86","3","1","1"
"GO301_24_6770_1","22:04:00","22:04:00","89","4","0","0"
"GO301_24_6770_1","22:07:00","22:07:00","175","5","0","0"
"GO301_24_6770_1","22:09:00","22:09:00","359","6","0","0"
"GO301_24_6770_1","22:11:00","22:11:00","23","7","0","0"
"GO301_24_6770_1","22:13:00","22:13:00","63","8","0","0"
"GO301_24_6770_1","22:16:00","22:16:00","195","9","0","0"
"GO301_24_6770_1","22:19:00","22:19:00","149","10","0","0"
"GO301_24_6770_1","22:22:00","22:22:00","68","11","0","0"
"GO301_24_6770_1","22:25:00","22:25:00","36","12","0","0"
"GO301_24_6770_1","22:29:00","22:29:00","84","13","0","0"
"GO301_24_6770_2","21:34:00","21:34:00","349","1","0","0"
"GO301_24_6770_2","21:56:00","21:57:00","102","2","0","0"
"GO301_24_6770_2","22:01:00","22:01:00","86","3","1","1"
"GO301_24_6770_2","22:03:00","22:03:00","89","4","0","0"
"GO301_24_6770_2","22:06:00","22:06:00","175","5","0","0"
"GO301_24_6770_2","22:10:00","22:10:00","23","6","0","0"
"GO301_24_6770_2","22:12:00","22:12:00","63","7","0","0"
"GO301_24_6770_2","22:15:00","22:15:00","195","8","0","0"
"GO301_24_6770_2","22:18:00","22:18:00","149","9","0","0"
"GO301_24_6770_2","22:21:00","22:21:00","68","10","0","0"
"GO301_24_6770_2","22:24:00","22:24:00","36","11","0","0"
"GO301_24_6770_2","22:28:00","22:28:00","84","12","0","0"
"GO301_24_6771","22:00:00","22:00:00","84","1","0","0"
"GO301_24_6771","22:03:00","22:03:00","36","2","0","0"
"GO301_24_6771","22:06:00","22:06:00","68","3","0","0"
"GO301_24_6771","22:08:00","22:08:00","149","4","0","0"
"GO301_24_6771","22:11:00","22:11:00","195","5","0","0"
"GO301_24_6771","22:14:00","22:14:00","63","6","0","0"
"GO301_24_6771","22:16:00","22:16:00","23","7","0","0"
"GO301_24_6771","22:18:00","22:18:00","359","8","0","0"
"GO301_24_6771","22:21:00","22:21:00","175","9","0","0"
"GO301_24_6771","22:24:00","22:24:00","89","10","0","0"
"GO301_24_6771","22:26:00","22:26:00","86","11","1","1"
"GO301_24_6771","22:31:00","22:32:00","102","12","0","0"
"GO301_24_6771","22:51:00","22:51:00","349","13","0","0"
"GO301_24_6771_1","22:40:00","22:40:00","84","1","0","0"
"GO301_24_6771_1","22:43:00","22:43:00","36","2","0","0"
"GO301_24_6771_1","22:46:00","22:46:00","68","3","0","0"
"GO301_24_6771_1","22:49:00","22:49:00","149","4","0","0"
"GO301_24_6771_1","22:52:00","22:52:00","195","5","0","0"
"GO301_24_6771_1","22:55:00","22:55:00","63","6","0","0"
"GO301_24_6771_1","22:57:00","22:57:00","23","7","0","0"
"GO301_24_6771_1","22:59:00","22:59:00","359","8","0","0"
"GO301_24_6771_1","23:02:00","23:02:00","175","9","0","0"
"GO301_24_6771_1","23:05:00","23:05:00","89","10","0","0"
"GO301_24_6771_1","23:07:00","23:07:00","86","11","1","1"
"GO301_24_6771_1","23:12:00","23:14:00","102","12","0","0"
"GO301_24_6771_1","23:18:00","23:18:00","107","13","0","0"
"GO301_24_6771_1","23:20:00","23:20:00","55","14","0","0"
"GO301_24_6771_1","23:35:00","23:35:00","349","15","0","0"
"GO301_24_6771_2","22:32:00","22:32:00","84","1","0","0"
"GO301_24_6771_2","22:35:00","22:35:00","36","2","0","0"
"GO301_24_6771_2","22:38:00","22:38:00","68","3","0","0"
"GO301_24_6771_2","22:41:00","22:41:00","149","4","0","0"
